X,Y,Z,Polarity
5.71E-04,0.011021984,-0.082550003,1
-0.05679584,-0.050746416,-0.002173484,1
-0.071163689,-0.027176991,0.006206769,1
0.038670737,-0.011324841,-0.082550003,1
0.031437913,-0.069383357,0.006898134,1
0.010019878,-0.075524745,0.028124271,1
0.001195946,0.00944955,-0.087438669,1
-0.018218552,-0.001161401,-0.088900002,1
-0.011324339,0.075318156,-0.048802818,1
-0.012271443,0.026391349,-0.082550003,1
0.012824841,0.004911089,0.082550003,1
-0.017713114,-0.074082536,-0.037459371,1
0.001929231,0.009324006,-0.088574293,1
-0.017056869,0.074229232,0.075500125,1
0.073192855,0.02106069,-0.059038545,1
0.06734829,-0.03558365,0.037613899,1
-0.048638582,0.058654138,0.059769338,1
-0.017817547,0.015145946,-0.088900002,1
-0.027232968,0.005745045,-0.088900002,1
-0.00917871,-0.022411943,0.082550003,1
0.029372478,-0.041530391,-0.082550003,1
0.022485502,-0.016254601,-0.082550003,1
-0.064108046,0.041168069,0.027482278,1
-0.012511119,-0.048612433,-0.082550003,1
0.050522301,0.056993424,0.033594693,1
0.011539719,0.075284047,-0.027004006,1
-0.05174211,-0.047206276,-0.088900002,1
0.040602128,0.064472563,-0.001796817,1
-0.059774979,0.047202731,4.74E-04,1
-0.007464103,-0.075796312,0.037096711,1
-0.02099868,0.050741514,0.082550003,1
-0.014928561,0.027572634,0.082550003,1
0.027082145,-0.023780792,-0.082550003,1
-0.017965786,-0.008047438,-0.082550003,1
0.017787724,-0.074065858,-0.069603183,1
-0.009472057,-0.004968183,-0.082550003,1
-0.071621048,-0.025906596,0.044798745,1
0.030617227,0.053685813,0.082550003,1
-0.008200585,-0.075726694,-0.033517255,1
-0.029538925,-0.070205143,0.012918154,1
0.037233944,-0.054280339,-0.088900002,1
0.0739733,-0.018201779,-0.001504682,1
-0.06766143,0.034969071,-0.039124836,1
-0.009882034,0.006442328,-0.082550003,1
-0.020038647,0.047575189,-0.082550003,1
0.071148849,0.027218213,-0.026507769,1
0.071259655,-0.026910428,0.005823777,1
-0.009664218,-0.031467748,-0.082550003,1
-0.032229351,0.029622657,-0.082550003,1
-0.070985749,0.027671253,-2.50E-04,1
0.076144446,-0.001767259,-0.029814195,1
0.076060213,0.004446951,0.044508818,1
0.002245578,0.021998179,-0.088900002,1
-0.00353132,0.008845332,-0.082773147,1
-3.34E-04,0.022563564,-0.088900002,1
-0.004568336,-0.012196468,-0.088900002,1
0.067981376,0.034341134,-0.059401447,1
-0.001793783,0.00939635,-0.088900002,1
0.07019225,-0.02956872,-0.006606045,1
0.043341834,0.011152271,-0.082550003,1
-0.024489377,-0.015273308,-0.082550003,1
0.007087789,-0.057638855,-0.082550003,1
-0.020752154,0.073282491,-0.064645121,1
-0.026391969,0.071446308,-0.008358877,1
0.028586461,0.070617322,0.043332061,1
-0.033660056,-0.022649437,0.082550003,1
-0.073455997,-0.020154936,-0.019174663,1
0.004655292,0.046671219,-0.088900002,1
0.033937466,-0.021340174,-0.082550003,1
-0.068405949,-0.033507854,-0.031155899,1
0.007238025,0.006357607,-0.088900002,1
-0.071886501,-0.038392511,-0.088900002,1
-0.060685798,0.046028505,-0.050805986,1
0.043081535,-0.008756069,0.082550003,1
0.04670039,-0.024874831,-0.082550003,1
-0.030087732,-0.030403662,-0.082550003,1
-0.002415999,-0.008747163,0.082550003,1
-0.061157879,0.0454199,-0.022482091,1
0.026405216,-0.037990879,-0.082550003,1
0.056817948,-0.050721339,0.0495606,1
-0.001451722,0.018496758,-0.082550003,1
0.046566374,0.060268586,0.026136712,1
0.071876751,0.025196334,0.014240643,1
0.046844995,0.048680449,0.082550003,1
-0.001597216,-0.01183341,-0.088900002,1
0.05888728,0.04834715,0.029006513,1
-0.019368473,-0.073684482,-0.008391842,1
0.052026701,-0.043548486,-0.088900002,1
-0.051954659,0.055730635,0.008413657,1
-0.014788201,0.031538566,0.082550003,1
0.010633701,-0.043999883,0.082550003,1
-0.033885442,-0.068213561,-0.010492318,1
0.069310284,0.03160677,0.042237262,1
-0.04419105,-0.062053606,-0.037089418,1
-0.017380168,-0.011514555,-0.088900002,1
0.060443661,0.046340668,0.013584488,1
-0.012673449,-0.075104497,-0.027301942,1
-0.007267193,-0.069529452,-0.088900002,1
-0.074488536,0.015896869,0.004820111,1
0.034313215,0.009286379,-0.088900002,1
-8.32E-04,0.009484129,-0.08321485,1
-0.05533074,-0.05237916,-0.006536056,1
0.041232822,0.015482446,-0.082550003,1
0.033085655,-0.068621068,-0.010994281,1
0.041769363,0.063699402,0.027938269,1
0.032785959,0.068773769,0.033138657,1
0.05731462,-0.081589569,-0.088900002,1
-0.003800976,-0.076080519,0.066596432,1
0.043032195,0.062841172,2.82E-04,1
-0.003552945,0.008835974,-0.086123992,1
0.074562948,-0.015563985,-0.052718618,1
-0.006351412,-0.075901494,0.007740139,1
0.003657465,-0.021226911,-0.082550003,1
0.014113259,0.008553958,-0.088900002,1
0.037973223,0.004519355,0.082550003,1
-0.038460259,0.06573926,0.051762718,1
0.041810321,-0.063671567,0.059318516,1
-0.018399557,0.028101098,-0.082550003,1
0.042276411,0.063354809,0.003303496,1
-0.055585788,-0.052118958,-0.036816437,1
-0.007972909,0.006604552,-0.082550003,1
-0.021039243,-0.01227039,-0.088900002,1
0.008967149,0.003197992,-0.083273063,1
0.013380904,-0.098250706,-0.088900002,1
0.0232654,0.056610059,0.082550003,1
-1.70E-04,0.009519671,-0.082919743,1
-0.046488434,0.023227123,-0.082550003,1
-0.076118413,-0.00259545,-0.007264219,1
-0.041862541,-0.063636078,0.055007636,1
-0.034624444,-0.05873641,-0.088900002,1
0.063332639,0.042309032,-0.055069609,1
-0.027519074,0.011559313,-0.082550003,1
0.075524834,-0.010019318,-0.00276968,1
0.071672575,-0.02576347,-0.002843581,1
0.076107747,-0.002934745,-0.045262537,1
0.064496085,0.040562356,0.008635967,1
-0.007552873,0.005795918,-0.086854485,1
-0.024232406,-0.072223778,0.003028337,1
-0.076138196,-0.001966092,0.051203845,1
-0.058250182,-0.06685877,-0.088900002,1
-0.012092219,0.009903433,-0.082550003,1
-0.024625599,0.01102091,-0.082550003,1
0.037979701,0.066023461,-0.006060322,1
0.052613313,-0.055096587,-0.030245542,1
0.002091252,-0.076134261,-0.007765811,1
0.039394452,0.06518678,0.030604878,1
0.019812679,-9.66E-04,-0.082550003,1
-0.02895808,-0.095670352,-0.079222576,1
-0.045521215,-0.061079292,-0.018378159,1
0.0624926,-0.043545096,-0.06961756,1
0.038221998,0.065880167,7.82E-04,1
-0.075996606,0.005345238,-0.047275431,1
-0.002796646,0.019822606,-0.082550003,1
0.022264564,-0.096926271,-0.088900002,1
-0.016736906,-0.039876312,-0.082550003,1
0.018497414,-0.073907215,0.032684371,1
0.009880814,0.043333804,-0.082550003,1
-0.074968268,0.013533636,0.055409057,1
0.009214456,-0.075630854,0.020235592,1
0.098739036,-0.013387406,-0.088900002,1
-0.009399667,0.066139136,-0.082550003,1
-0.014764762,-0.015864997,-0.082550003,1
0.045045192,-0.025816577,0.082550003,1
0.073919252,-0.018443563,0.075773721,1
0.006427397,-0.043931761,-0.082550003,1
-0.018137863,7.31E-04,-0.082550003,1
-0.028431294,-0.016984749,-0.082550003,1
0.06722222,0.03583108,0.016884129,1
0.073664223,0.019438207,0.009573053,1
0.043985249,0.062193469,-0.013838409,1
-0.073434501,0.020228928,0.0289344,1
0.076177827,7.05E-04,0.003580877,1
-0.03259994,0.01275556,-0.088900002,1
-0.05014437,-0.057326612,-0.061536712,1
0.040242845,0.020424897,-0.088900002,1
0.002492498,-0.009189804,-0.086656263,1
0.059458422,0.047610835,0.039533533,1
0.008485416,-0.009762558,-0.082550003,1
-0.008398354,-0.004487561,-0.088880317,1
-0.057789236,-0.049619625,0.026644083,1
-0.027980063,0.070874573,-0.035431608,1
0.012832938,9.96E-04,-0.088900002,1
0.026590243,0.003802326,-0.082550003,1
-0.048100041,0.079896037,-0.088900002,1
0.01298082,0.016405044,-0.082550003,1
0.043008071,0.062857567,-0.027002211,1
-0.06410477,0.041172889,0.041758369,1
-0.041163487,-0.0291016,-0.082550003,1
-0.027730419,-0.007123796,-0.088900002,1
0.041318888,0.064005549,0.007147893,1
-0.032708328,0.068813324,-0.016570737,1
0.082748423,-0.05606116,-0.088285253,1
-0.029158247,-0.070369881,0.03163472,1
0.066867034,0.036528179,0.031358931,1
-0.015150911,0.00917691,0.082550003,1
-0.015607431,-0.015380729,-0.088900002,1
0.01388595,0.017189133,-0.088900002,1
0.001782548,0.009356648,-0.084972437,1
-0.034174984,0.026610975,-0.082550003,1
-0.035080825,-0.067604489,-0.008526727,1
-0.031472882,-0.001851194,-0.082550003,1
0.066282761,-0.037541249,-0.041013882,1
0.057148349,0.050346571,0.025378203,1
-0.075433857,-0.010593771,-0.022904506,1
-0.087047333,0.016883626,-0.088900002,1
0.030646237,-0.022153049,-0.082550003,1
0.006332918,0.007108637,-0.084435082,1
-0.043007004,-0.062858292,-0.023783954,1
0.002367231,0.009226094,-0.085405048,1
0.02950641,0.029208725,-0.088900002,1
-4.38E-04,0.033651925,-0.082550003,1
-0.059348302,-0.047752801,-0.001173734,1
0.075649947,0.00901247,-0.02399787,1
-0.075868043,0.006705278,0.059386801,1
0.062165152,-0.044026916,-0.050829851,1
0.075314749,-0.011345856,0.012503054,1
-0.046929506,-0.059986913,-0.049982473,1
-0.052852991,0.054856909,-0.018573012,1
0.009514106,3.47E-04,-0.087844168,1
-0.020973973,-0.006996517,-0.082550003,1
0.014963824,0.074697107,2.67E-04,1
-0.024779366,-0.019223731,-0.082550003,1
-0.045433572,-0.061147274,-0.013972847,1
-0.012365223,-0.075153311,-0.047156626,1
0.073956561,0.018276664,-2.01E-04,1
-0.05381297,-0.05389693,-0.025147775,1
0.006887474,-0.006576266,-0.088055644,1
-0.010476429,0.075452441,-0.070729676,1
-0.046780375,0.06010259,-0.024059883,1
-0.021955823,0.021739049,-0.082550003,1
-0.075513566,0.010090465,0.021003468,1
0.039228343,0.065285017,-0.027083142,1
0.073846986,0.018766847,-0.003905413,1
-0.007207051,0.018265273,-0.088900002,1
-0.009922269,-0.003716383,-0.082550003,1
0.004076499,-0.012048239,-0.088900002,1
-0.004065351,-0.027633029,-0.082550003,1
-0.046980696,-0.059947206,-0.019911006,1
0.055793132,0.05188377,0.002298511,1
-0.040731467,-0.011934654,0.082550003,1
0.020156738,0.073455473,-0.07575705,1
-0.049076084,-0.058268429,0.002731449,1
-0.044361103,-0.061938037,0.003821076,1
0.005324308,-0.02659602,-0.088900002,1
-0.075502157,0.010162508,-0.015478088,1
-0.055864045,0.051803335,0.014044009,1
-0.00713268,0.02652441,-0.088900002,1
0.015772616,0.074516311,-0.005990856,1
0.042658968,-0.032512204,-0.082550003,1
-0.027475498,0.017752927,-0.082550003,1
0.060817994,0.045858079,-0.055813846,1
0.020922905,-0.004312804,0.082550003,1
0.027422682,-0.047568385,-0.082550003,1
0.017378087,-0.074157427,-0.001379409,1
-0.01104909,-0.01483814,-0.082550003,1
-0.047712166,-0.021765918,-0.082550003,1
-0.009703602,0.035232311,-0.082550003,1
0.072923161,-0.021988997,-0.012007811,1
0.008757748,0.003733718,-0.082969239,1
0.0037408,-0.009468269,-0.088900002,1
-0.07471124,0.014900602,0.020205233,1
0.074515356,0.015776888,-0.017236619,1
0.028388238,-0.095835901,-0.088550846,1
0.063890317,0.041488444,0.070307844,1
-0.00508113,-0.008055597,-0.08280779,1
0.060032258,0.046871047,-0.035553192,1
0.033734324,-0.068290558,-0.031052722,1
0.039076088,0.06537506,0.038801626,1
-0.008219427,-0.004804109,-0.086943112,1
-0.071071581,-0.027432838,-0.015723155,1
-0.007856484,-0.082392349,-0.088900002,1
-0.005416954,-0.075989827,-0.010531131,1
-0.007253664,0.006168414,-0.088426007,1
0.071703778,-0.025676798,0.023215549,1
0.011405443,-0.006075063,-0.082550003,1
0.067127277,0.036017417,-0.021793168,1
-0.043478217,6.86E-04,-0.088900002,1
0.009085964,-0.029893252,-0.088900002,1
-0.05978819,-0.0471857,-0.056311812,1
-0.030398534,0.069833148,-0.052765115,1
0.039906142,-0.064884168,-0.038362745,1
0.004365761,0.042640896,-0.082550003,1
-1.02E-05,-0.036658191,-0.082550003,1
-0.065149253,0.039457907,-0.03468388,1
0.003817593,-0.010222025,-0.082550003,1
0.027633531,-0.070999329,0.055613718,1
0.07547368,-0.01034232,0.053514706,1
-0.004239221,0.021030196,-0.082550003,1
-0.03174495,-0.069250487,0.009371358,1
0.010924314,-0.006406547,-0.088900002,1
-0.07367289,0.019408372,-0.064466162,1
-0.005856336,-0.099815979,-0.088274002,1
0.041306402,-0.064014034,-7.70E-04,1
0.055340429,0.052369471,-0.017901737,1
-0.033648325,-0.068334376,-0.0701152,1
0.093617582,-0.033108612,-0.088900002,1
0.001381965,-0.00942009,-0.082761127,1
0.016635488,-4.96E-05,-0.082550003,1
-0.074662246,-0.031678859,-0.088900002,1
0.030424679,0.069821834,5.30E-04,1
-0.02133846,-0.03912564,-0.082550003,1
0.003216194,0.01164857,-0.088900002,1
-0.075380016,-0.010933741,0.02953614,1
0.003019428,0.010306555,0.082550003,1
-0.047672925,-0.033077556,-0.082550003,1
0.019911737,-0.037902084,0.082550003,1
0.064971918,0.039757764,-0.053210794,1
-0.058117075,0.049247762,0.030120091,1
0.00400462,0.031546618,-0.082550003,1
-0.019419201,0.073669744,-0.016950384,1
-0.046155687,-0.060587146,-0.024861526,1
0.016697408,0.052093493,-0.082550003,1
0.009403676,-0.027250718,-0.088900002,1
-0.040752904,0.021080821,-0.082550003,1
-0.071253202,0.026928354,-0.037118342,1
-0.027901733,0.047995982,-0.088900002,1
-0.059436182,0.033856026,0.082550003,1
-0.004003057,0.015018843,0.082550003,1
0.002221966,-0.076130153,0.007768783,1
0.03116577,-0.012339317,-0.088900002,1
-0.008797966,-0.004582207,-0.082550003,1
0.01879663,-0.020734858,-0.082550003,1
-0.04552299,0.061077914,0.071445478,1
-0.076113145,-0.002763038,0.007211161,1
0.01151417,-0.007804531,-0.082550003,1
-0.056497874,0.01881908,-0.082550003,1
0.065023461,0.03967061,-0.011781885,1
-0.031432673,-0.0338099,0.082550003,1
-0.05949298,0.047566283,-0.04722743,1
0.011783216,0.012311551,0.082550003,1
0.036331495,0.066967248,0.007688866,1
0.05364592,0.010638415,-0.082550003,1
-0.010682797,0.003640386,-0.082550003,1
0.003342788,-0.00891502,-0.087566895,1
-0.019854892,-0.073543166,-0.03885659,1
-0.030021205,0.011955036,-0.088900002,1
-0.059321245,0.043098358,-0.088900002,1
